Source,Target,Distance
Atlalilco,Escuadron201,1738.0
Atlalilco,Iztapalapa,732.0
Atlalilco,Culhuacan,1671.0
Atlalilco,Mexicaltzingo,1922.0
Iztapalapa,Atlalilco,732.0
Iztapalapa,CerrodelaEstrella,717.0
CerrodelaEstrella,Iztapalapa,717.0
CerrodelaEstrella,UAMI,1135.0
UAMI,CerrodelaEstrella,1135.0
UAMI,Constde1917,1137.0
Puebla,Pantitlan,1380.0
Puebla,CiudadDeportiva,800.0
CiudadDeportiva,Puebla,800.0
CiudadDeportiva,Velodromo,1110.0
Velodromo,CiudadDeportiva,1110.0
Velodromo,Mixiuhca,821.0
Mixiuhca,Jamaica,942.0
Mixiuhca,Velodromo,821.0
LazaroCardenas,Chabacano,1000.0
LazaroCardenas,CentroMedico,1059.0
Chilpancingo,CentroMedico,1152.0
Chilpancingo,Patriotismo,955.0
Patriotismo,Tacubaya,1133.0
Patriotismo,Chilpancingo,955.0
AgricolaOriental,Pantitlan,1409.0
AgricolaOriental,CanaldeSanJuan,1093.0
CanaldeSanJuan,AgricolaOriental,1093.0
CanaldeSanJuan,Tepalcates,1456.0
Tepalcates,CanaldeSanJuan,1456.0
Tepalcates,Guelatao,1161.0
Guelatao,Tepalcates,1161.0
Guelatao,PenonViejo,2206.0
PenonViejo,Guelatao,2206.0
PenonViejo,Acatitla,1379.0
Acatitla,PenonViejo,1379.0
Acatitla,SantaMarta,1100.0
SantaMarta,Acatitla,1100.0
SantaMarta,LosReyes,1783.0
LosReyes,SantaMarta,1783.0
LosReyes,LaPaz,1956.0
CiudadAzteca,PlazaAragon,574.0
PlazaAragon,CiudadAzteca,574.0
PlazaAragon,Olimpica,709.0
Olimpica,PlazaAragon,709.0
Olimpica,Ecatepec,596.0
Ecatepec,Olimpica,596.0
Ecatepec,Muzquiz,1485.0
Muzquiz,Ecatepec,1485.0
Muzquiz,RiodelosRemedios,1155.0
RiodelosRemedios,Muzquiz,1155.0
RiodelosRemedios,Impulsora,436.0
Impulsora,RiodelosRemedios,436.0
Impulsora,Nezahualcoyotl,1393.0
Nezahualcoyotl,Impulsora,1393.0
Nezahualcoyotl,VilladeAragon,1335.0
VilladeAragon,Nezahualcoyotl,1335.0
VilladeAragon,BosquedeAragon,784.0
BosquedeAragon,VilladeAragon,784.0
BosquedeAragon,DeportivoOceania,1165.0
DeportivoOceania,Oceania,863.0
DeportivoOceania,BosquedeAragon,1165.0
RomeroRubio,Oceania,809.0
RomeroRubio,RcardoFloresMagon,908.0
RcardoFloresMagon,SanLazaro,907.0
RcardoFloresMagon,RomeroRubio,908.0
Tepito,Morelos,498.0
Tepito,Lagunilla,611.0
Lagunilla,Garibaldi,474.0
Lagunilla,Tepito,611.0
Tlahuac,Tlaltenco,1298.0
Tlaltenco,Tlahuac,1298.0
Tlaltenco,Zapotitlan,1115.0
Zapotitlan,Tlaltenco,1115.0
Zapotitlan,Nopalera,1276.0
Nopalera,Zapotitlan,1276.0
Nopalera,Olivos,1360.0
Olivos,Nopalera,1360.0
Olivos,Tezonco,490.0
Tezonco,Olivos,490.0
Tezonco,PerifericoOriente,1545.0
PerifericoOriente,Tezonco,1545.0
PerifericoOriente,Calle11,1111.0
Calle11,PerifericoOriente,1111.0
Calle11,LomasEstrella,906.0
LomasEstrella,Calle11,906.0
LomasEstrella,SanAndresTomatlan,1060.0
SanAndresTomatlan,LomasEstrella,1060.0
SanAndresTomatlan,Culhuacan,990.0
Culhuacan,Atlalilco,1671.0
Culhuacan,SanAndresTomatlan,990.0
Mexicaltzingo,Ermita,1805.0
Mexicaltzingo,Atlalilco,1922.0
EjeCentral,Ermita,895.0
EjeCentral,ParquedelosVenados,1280.0
ParquedelosVenados,Zapata,563.0
ParquedelosVenados,EjeCentral,1280.0
Hospital20deNoviembre,Zapata,450.0
Hospital20deNoviembre,InsurgentesSur,725.0
InsurgentesSur,Mixcoac,651.0
InsurgentesSur,Hospital20deNoviembre,725.0
Observatorio,Tacubaya,1262.0
Tasquena,GeneralAnaya,1330.0
DivisiondelNorte,Eugenia,715.0
Universidad,Copilco,1306.0
MartinCarrera,Talisman,1129.0
MartinCarrera,LaVillaBasilica,1141.0
BarrancadelMuerto,Mixcoac,1476.0
Constde1917,UAMI,1137.0
LaPaz,LosReyes,1956.0
Buenavista,Guerrero,521.0
